,mi_3,mi_7,mi_11,mi_21,mi_31,eqw_2,eqf_2,kmeans_2,distortion_aligned_2,eqw_5,eqf_5,kmeans_5,distortion_aligned_5,eqw_square-root,eqf_square-root,kmeans_square-root,distortion_aligned_square-root,eqw_sturges-formula,eqf_sturges-formula,kmeans_sturges-formula,distortion_aligned_sturges-formula,eqw_rice-rule,eqf_rice-rule,kmeans_rice-rule,distortion_aligned_rice-rule
laser,0.43874897715048194,0.43874897715048194,0.43874897715048194,0.43874897715048194,0.43874897715048194,0.43874897715048194,0.529778399320129,0.43874897715048194,0.43804413566984163,0.43874897715048194,0.5931113042340151,0.43874897715048194,0.43874897715048194,0.43874897715048194,0.5282602776441166,0.43874897715048194,0.43874897715048194,0.43874897715048194,0.5880494495855983,0.43874897715048194,0.43874897715048194,0.43874897715048194,0.5710857448029559,0.43874897715048194,0.43874897715048194
autoMPG6,0.5040459621150031,0.5046068374600159,0.5069723760704146,0.4985075931834196,0.49794797906414046,0.4972426904725722,0.6017415671585611,0.49569741138464013,0.5436045143541294,0.5008652630098996,0.649017027685054,0.49996253855994605,0.5050356703549032,0.5034928413571741,0.6292106951533882,0.4992712408733598,0.49986402751265774,0.49820565792517535,0.61198815988689,0.5028892590444224,0.5015712693817624,0.49936641802758425,0.6243772033646084,0.49890695173542293,0.5000101297249451
wizmir,0.2975536079936962,0.29508364944634724,0.2945086605506945,0.29448118480524565,0.29328338105625795,0.2946885525073307,0.7770560766983988,0.2931282725237097,0.3950933807971231,0.29157212207297006,0.7562123236857816,0.2907592012344154,0.29058382949960043,0.29093884882057636,0.5442229781829692,0.29152554808604114,0.29135837854831403,0.29246701404860703,0.532716689353784,0.29127120565232184,0.29052360818864387,0.29114326587389733,0.680259982686227,0.2914655842228593,0.2915862222250747
wankara,0.4230971343312811,0.4029038082215362,0.39485058162166564,0.3945645434617927,0.39508658703384314,0.43030152676378963,0.8240174538190265,0.4162055564672601,0.4198082550697184,0.3999862902747679,0.7183209774251416,0.40513223263841974,0.4032411907306777,0.39880864732771165,0.7415260305968556,0.3996415883060265,0.40126949487483476,0.3990161784865187,0.6839714835290467,0.3988131823199938,0.40116202248244187,0.3995669697298926,0.6902114115893028,0.39822613978351096,0.3999504295793654
mortgage,0.8938446754210894,0.8689109955731996,0.8591492569120823,0.8327171381053331,0.8172790433303436,0.7939851394327728,0.9680863440697176,0.796255632394213,0.9031402239431632,0.801145499073924,0.8631742533197166,0.8023480429357781,0.7999190701163962,0.7996930911845136,0.8441459931629999,0.7966408514092065,0.7976641906477271,0.7906990641797143,0.9164227271901614,0.7978233834590119,0.8011098637256289,0.7916119850746169,0.8555113922587345,0.8007751958254005,0.800896848867496
baseball,0.31193801487177,0.29612652275972556,0.29166597448403714,0.27858711230820066,0.2725902789359059,0.2671490549990279,0.2985734587833216,0.25035196079917676,0.25441079761399726,0.2748552796848475,0.38760338503873937,0.26828461596426795,0.269215462808309,0.2840436137177754,0.44849495464337286,0.2855721671747094,0.2871571053107768,0.2728063729585177,0.4603233362696742,0.2730281587219993,0.2758546841876229,0.2820849014647808,0.4503877065743395,0.285642753332495,0.28404504929566643
ele_1,0.22138277032675227,0.22138277032675227,0.22138277032675227,0.22138277032675227,0.22138277032675227,0.22138277032675227,0.22138277032675227,0.22138277032675227,0.27131962441215185,0.22138277032675227,0.35218917892987905,0.22138277032675227,0.22138277032675227,0.22138277032675227,0.22138277032675227,0.22138277032675227,0.22138277032675227,0.22138277032675227,0.22138277032675227,0.22138277032675227,0.22138277032675227,0.22138277032675227,0.2239118673255284,0.22138277032675227,0.22138277032675227
treasury,0.8956517458190137,0.8661992742047101,0.857725494244595,0.8455494786409923,0.8356239764415018,0.7495720186381738,0.8946929924008089,0.7500466013158271,0.7499535251029473,0.7617118644353678,0.8930907432314044,0.7560087405284109,0.7605864872846598,0.7616515816378205,0.9392240579889468,0.763868424050956,0.7618207927370799,0.7568484090175163,0.9593416176437951,0.7620559484088059,0.7623617573315018,0.7610407788323268,0.9688281599520722,0.7667354010613316,0.7636937401644271
compactiv,0.37307192179536575,0.38732277527187575,0.39289280918217606,0.4034793149672612,0.40721108567188236,0.22570371209869639,0.3454946255175902,0.232818428234674,0.5092205156444963,0.2507727395668163,0.5002923774346679,0.2624599178018869,0.2543488276713213,0.26373516118399676,0.38816096566323705,0.2671086317196728,0.26975101486095127,0.26373516118399676,0.4248061087747771,0.2659294027984377,0.2783185845876757,0.26373516118399676,0.38816096566323705,0.2671086317196728,0.26975101486095127
puma32h,-0.0037980713708782787,-0.0036531701685567114,-0.003435025215718738,-0.0032831967679036026,-0.003477644328032008,-0.0021514428552563843,0.15213804339083464,-0.002198041303076819,-0.0028071839055674726,-0.003181936602805191,0.10276845098556288,-0.0024367759403252395,-0.0023566347644246558,-0.003390740158896759,0.09399408697486093,-0.003342767673698962,-0.003456036069103504,-0.0030313753069653765,0.13939548187216783,-0.003341816024186336,-0.003292072427281951,-0.0034058608159996348,0.08441350103673162,-0.0032397225900756815,-0.0032290469928679903
